Model,Dataset,Accuracy,AUC [IC95],Sensitivity,Specificity,,,,,,
ddsm_vgg16_s10_512x1.h5,INBREAST,0.8435,0.7210 [0.650–0.787],0.51,0.9515,,,,,,
inbreast_vgg16_512x1.h5,INBREAST,0.9487,0.9678 [0.946–0.986],0.87,0.9741,,,,,,
inbreast_vgg16_[512-512-1024]x2_hybrid.h5,INBREAST,0.9046,0.9420 [0.917–0.966],0.66,0.9838,,,,,,
ddsm_YaroslavNet_s10.h5,INBREAST,0.7848,0.6589 [0.587–0.725],0.15,0.9903,,,,,,
ddsm_vgg16_s10_[512-512-1024]x2_hybrid.h5,INBREAST,0.8215,0.6933 [0.619–0.759],0.39,0.9612,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
